
    pProfilerData(IndexIdentifiers,i_ProfilerLineNumber,IndexProfilerTypes) := data 
      ( prStartupCore                                                                            ,  46, 'net time'   ) : 8.000e-07,
      ( prStartupCore                                                                            ,  49, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  49, 'gross time' ) : 5.820e-05,
      ( prStartupCore                                                                            ,  49, 'net time'   ) : 5.820e-05,
      ( prStartupCore                                                                            ,  50, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  50, 'gross time' ) : 4.260e-05,
      ( prStartupCore                                                                            ,  50, 'net time'   ) : 4.260e-05,
      ( prStartupCore                                                                            ,  54, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  54, 'gross time' ) : 1.505e-03,
      ( prStartupCore                                                                            ,  54, 'net time'   ) : 1.410e-05,
      ( prStartupUI                                                                              ,   0, hits         ) : 1.000e+00,
      ( prStartupUI                                                                              ,   0, 'gross time' ) : 1.842e-01,
      ( prStartupUI                                                                              ,   0, 'net time'   ) : 2.770e-05,
      ( prStartupUI                                                                              ,   1, hits         ) : 1.000e+00,
      ( prStartupUI                                                                              ,   1, 'gross time' ) : 7.146e-03,
      ( prStartupUI                                                                              ,   1, 'net time'   ) : 1.020e-05,
      ( prStartupUI                                                                              ,   3, hits         ) : 1.000e+00,
      ( prStartupUI                                                                              ,   3, 'gross time' ) : 1.751e-01,
      ( prStartupUI                                                                              ,   3, 'net time'   ) : 1.500e-06,
      ( prStartupUI                                                                              ,   5, hits         ) : 1.000e+00,
      ( prStartupUI                                                                              ,   5, 'gross time' ) : 1.932e-03,
      ( prStartupUI                                                                              ,   5, 'net time'   ) : 1.310e-05,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   0, hits         ) : 1.000e+00,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   0, 'gross time' ) : 3.810e-05,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   0, 'net time'   ) : 3.810e-05,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   2, hits         ) : 1.000e+00,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   2, 'gross time' ) : 2.300e-06,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   2, 'net time'   ) : 2.300e-06,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   5, hits         ) : 1.000e+00,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   5, 'gross time' ) : 3.250e-05,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   5, 'net time'   ) : 2.180e-05,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   7, hits         ) : 1.000e+00,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   7, 'gross time' ) : 1.070e-05,
      ( prDetermineCurrentApplicationLaunchMode                                                  ,   7, 'net time'   ) : 1.070e-05,
      ( prDetermineCurrentUserProperties                                                         ,   0, hits         ) : 1.000e+00,
      ( prDetermineCurrentUserProperties                                                         ,   0, 'gross time' ) : 3.220e-05,
      ( prDetermineCurrentUserProperties                                                         ,   0, 'net time'   ) : 3.220e-05,
      ( prDetermineCurrentUserProperties                                                         ,   2, hits         ) : 1.000e+00,
      ( prDetermineCurrentUserProperties                                                         ,   2, 'gross time' ) : 3.800e-06,
      ( prDetermineCurrentUserProperties                                                         ,   2, 'net time'   ) : 3.800e-06,
      ( prDetermineCurrentUserProperties                                                         ,   5, hits         ) : 1.000e+00,
      ( prDetermineCurrentUserProperties                                                         ,   5, 'gross time' ) : 2.460e-05,
      ( prDetermineCurrentUserProperties                                                         ,   5, 'net time'   ) : 5.900e-06,
      ( prDetermineCurrentUserProperties                                                         ,   8, hits         ) : 1.000e+00,
      ( prDetermineCurrentUserProperties                                                         ,   8, 'gross time' ) : 8.400e-06,
      ( prDetermineCurrentUserProperties                                                         ,   8, 'net time'   ) : 8.400e-06,
      ( prDetermineCurrentUserProperties                                                         ,   9, hits         ) : 1.000e+00,
      ( prDetermineCurrentUserProperties                                                         ,   9, 'gross time' ) : 5.100e-06,
      ( prDetermineCurrentUserProperties                                                         ,   9, 'net time'   ) : 5.100e-06,
      ( prDetermineCurrentUserProperties                                                         ,  10, hits         ) : 1.000e+00,
      ( prDetermineCurrentUserProperties                                                         ,  10, 'gross time' ) : 5.200e-06,
      ( prDetermineCurrentUserProperties                                                         ,  10, 'net time'   ) : 5.200e-06,
      ( prSetupApplicationGeneralPaths                                                           ,   0, hits         ) : 1.000e+00,
      ( prSetupApplicationGeneralPaths                                                           ,   0, 'gross time' ) : 1.303e-03,
